parameter_pencemar_kritis,kategori,periode_data,bulan,tanggal,stasiun,pm_sepuluh,pm_duakomalima,sulfur_dioksida,karbon_monoksida,ozon,nitrogen_dioksida,max
PM25,SEDANG,202506,6,19,DKI5 Kebon Jeruk,20,90,23,24,16,49,90
PM25,TIDAK SEHAT,202506,6,2,DKI5 Kebon Jeruk,35,120,27,13,38,56,120
PM25,TIDAK SEHAT,202506,6,20,DKI5 Kebon Jeruk,44,127,27,24,18,51,127
PM25,SEDANG,202506,6,21,DKI5 Kebon Jeruk,24,65,22,7,34,31,65
NO2,BAIK,202506,6,22,DKI5 Kebon Jeruk,38,N/A,24,22,25,45,45
PM25,SEDANG,202506,6,23,DKI5 Kebon Jeruk,20,81,24,7,30,22,81
PM25,TIDAK SEHAT,202506,6,24,DKI5 Kebon Jeruk,36,114,29,11,27,35,114
PM25,TIDAK SEHAT,202506,6,25,DKI5 Kebon Jeruk,39,133,26,16,28,43,133
PM25,TIDAK SEHAT,202506,6,26,DKI5 Kebon Jeruk,32,123,26,17,27,51,123
PM25,TIDAK SEHAT,202506,6,27,DKI5 Kebon Jeruk,31,108,27,10,38,30,108
PM25,TIDAK SEHAT,202506,6,28,DKI5 Kebon Jeruk,47,137,26,12,40,35,137
PM25,SEDANG,202506,6,29,DKI5 Kebon Jeruk,48,95,24,17,15,51,95
PM25,TIDAK SEHAT,202506,6,3,DKI5 Kebon Jeruk,30,128,25,11,40,55,128
PM25,TIDAK SEHAT,202506,6,30,DKI5 Kebon Jeruk,29,125,25,19,28,48,125
PM25,TIDAK SEHAT,202506,6,4,DKI5 Kebon Jeruk,38,141,22,16,39,65,141
PM25,TIDAK SEHAT,202506,6,5,DKI5 Kebon Jeruk,38,116,25,14,38,65,116
PM25,SEDANG,202506,6,6,DKI5 Kebon Jeruk,30,97,23,12,39,46,97
PM25,TIDAK SEHAT,202506,6,7,DKI5 Kebon Jeruk,36,125,22,17,45,40,125
PM25,TIDAK SEHAT,202506,6,8,DKI5 Kebon Jeruk,31,108,26,14,41,60,108
PM25,SEDANG,202506,6,9,DKI5 Kebon Jeruk,30,99,25,11,38,49,99
