periode_data,bulan,tanggal,stasiun,karbon_monoksida
202404,4,14,DKI5  Kebon Jeruk  Jakarta Barat,15
202404,4,15,DKI5  Kebon Jeruk  Jakarta Barat,20
202404,4,16,DKI5  Kebon Jeruk  Jakarta Barat,17
202404,4,17,DKI5  Kebon Jeruk  Jakarta Barat,18
202404,4,18,DKI5  Kebon Jeruk  Jakarta Barat,21
202404,4,19,DKI5  Kebon Jeruk  Jakarta Barat,18
202404,4,2,DKI5  Kebon Jeruk  Jakarta Barat,35
202404,4,20,DKI5  Kebon Jeruk  Jakarta Barat,25
202404,4,21,DKI5  Kebon Jeruk  Jakarta Barat,20
202404,4,22,DKI5  Kebon Jeruk  Jakarta Barat,26
202404,4,23,DKI5  Kebon Jeruk  Jakarta Barat,22
202404,4,24,DKI5  Kebon Jeruk  Jakarta Barat,21
202404,4,25,DKI5  Kebon Jeruk  Jakarta Barat,22
202404,4,26,DKI5  Kebon Jeruk  Jakarta Barat,14
202404,4,27,DKI5  Kebon Jeruk  Jakarta Barat,26
202404,4,28,DKI5  Kebon Jeruk  Jakarta Barat,20
202404,4,29,DKI5  Kebon Jeruk  Jakarta Barat,17
202404,4,3,DKI5  Kebon Jeruk  Jakarta Barat,24
202404,4,30,DKI5  Kebon Jeruk  Jakarta Barat,18
202404,4,4,DKI5  Kebon Jeruk  Jakarta Barat,28
202404,4,5,DKI5  Kebon Jeruk  Jakarta Barat,31
202404,4,6,DKI5  Kebon Jeruk  Jakarta Barat,22
202404,4,7,DKI5  Kebon Jeruk  Jakarta Barat,20
202404,4,8,DKI5  Kebon Jeruk  Jakarta Barat,18
202404,4,9,DKI5  Kebon Jeruk  Jakarta Barat,15
202405,5,1,DKI5  Kebon Jeruk  Jakarta Barat,17
202405,5,10,DKI5  Kebon Jeruk  Jakarta Barat,16
202405,5,11,DKI5  Kebon Jeruk  Jakarta Barat,17
202405,5,12,DKI5  Kebon Jeruk  Jakarta Barat,23
202405,5,13,DKI5  Kebon Jeruk  Jakarta Barat,16
202405,5,14,DKI5  Kebon Jeruk  Jakarta Barat,23
202405,5,15,DKI5  Kebon Jeruk  Jakarta Barat,23
202405,5,16,DKI5  Kebon Jeruk  Jakarta Barat,19
202405,5,17,DKI5  Kebon Jeruk  Jakarta Barat,17
202405,5,18,DKI5  Kebon Jeruk  Jakarta Barat,21
202405,5,19,DKI5  Kebon Jeruk  Jakarta Barat,20
202405,5,2,DKI5  Kebon Jeruk  Jakarta Barat,17
202405,5,20,DKI5  Kebon Jeruk  Jakarta Barat,20
202405,5,21,DKI5  Kebon Jeruk  Jakarta Barat,21
202405,5,22,DKI5  Kebon Jeruk  Jakarta Barat,21
202405,5,23,DKI5  Kebon Jeruk  Jakarta Barat,20
202405,5,24,DKI5  Kebon Jeruk  Jakarta Barat,22
202405,5,25,DKI5  Kebon Jeruk  Jakarta Barat,18
202405,5,26,DKI5  Kebon Jeruk  Jakarta Barat,26
202405,5,27,DKI5  Kebon Jeruk  Jakarta Barat,22
202405,5,28,DKI5  Kebon Jeruk  Jakarta Barat,26
202405,5,29,DKI5  Kebon Jeruk  Jakarta Barat,17
202405,5,3,DKI5  Kebon Jeruk  Jakarta Barat,18
202405,5,30,DKI5  Kebon Jeruk  Jakarta Barat,18
202405,5,31,DKI5  Kebon Jeruk  Jakarta Barat,21
202405,5,4,DKI5  Kebon Jeruk  Jakarta Barat,22
202405,5,5,DKI5  Kebon Jeruk  Jakarta Barat,23
202405,5,6,DKI5  Kebon Jeruk  Jakarta Barat,18
202405,5,7,DKI5  Kebon Jeruk  Jakarta Barat,21
202405,5,8,DKI5  Kebon Jeruk  Jakarta Barat,20
202405,5,9,DKI5  Kebon Jeruk  Jakarta Barat,22
202406,6,1,DKI5  Kebon Jeruk  Jakarta Barat,25
202406,6,10,DKI5  Kebon Jeruk  Jakarta Barat,27
202406,6,11,DKI5  Kebon Jeruk  Jakarta Barat,20
202406,6,12,DKI5  Kebon Jeruk  Jakarta Barat,27
202406,6,13,DKI5  Kebon Jeruk  Jakarta Barat,21
202406,6,14,DKI5  Kebon Jeruk  Jakarta Barat,19
202406,6,15,DKI5  Kebon Jeruk  Jakarta Barat,23
202406,6,16,DKI5  Kebon Jeruk  Jakarta Barat,23
202406,6,17,DKI5  Kebon Jeruk  Jakarta Barat,20
202406,6,18,DKI5  Kebon Jeruk  Jakarta Barat,25
202406,6,19,DKI5  Kebon Jeruk  Jakarta Barat,29
202406,6,2,DKI5  Kebon Jeruk  Jakarta Barat,24
202406,6,20,DKI5  Kebon Jeruk  Jakarta Barat,19
202406,6,21,DKI5  Kebon Jeruk  Jakarta Barat,23
